movieId,mean_rating,std_rating,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,count_users,rated_by_group,rated_by_all_groups
1,3.8947368421052633,0.837383419994673,0,1,0,0,4,5,15,8,51,8,22,114,"1, 480, 555","232, 291, 153, 156, 1, 480, 555, 290, 359"
3,3.4193548387096775,1.02548179078217,0,0,2,0,1,1,12,3,7,0,5,31,"1, 480, 555","1, 480, 555, 302"
6,3.941666666666667,0.7312148393207962,0,0,0,0,0,0,16,5,23,2,14,60,"1, 480","1, 480, 62, 286"
47,3.9070796460176993,0.9462064119192052,0,2,1,0,5,0,17,12,34,19,23,113,"1, 480, 94, 152","232, 156, 1, 480, 94, 152, 302, 346, 62, 286"
50,4.202830188679245,0.8187630097455448,0,0,2,0,1,1,11,5,29,25,32,106,"1, 480, 215, 152, 555","156, 1, 480, 215, 152, 555, 435, 290, 346, 262"
70,3.3870967741935485,0.9372804402396937,0,0,0,0,7,1,4,5,10,2,2,31,1,"1, 286"
101,3.933333333333333,0.8632717389316618,0,0,0,0,1,0,2,3,3,3,3,15,"1, 480","1, 480"
110,4.060975609756097,0.9678973447076106,0,1,1,3,2,4,11,10,37,13,41,123,"1, 480, 94, 555","232, 1, 480, 94, 555, 302, 62, 286"
151,3.519230769230769,0.984690501942303,0,0,1,0,2,0,9,1,9,0,4,26,1,1
157,3.6,1.140175425099138,0,0,0,0,1,0,1,0,2,0,1,5,1,1
163,3.6625,0.9225626238211664,0,0,1,0,1,1,14,3,10,3,7,40,"1, 480","1, 480, 435"
216,3.3142857142857145,1.0437891541491164,0,0,2,0,4,1,11,5,7,0,5,35,"1, 555","1, 555, 435, 365"
223,3.906779661016949,0.9444692738434458,0,0,1,1,1,3,8,6,20,3,16,59,"1, 480, 215","156, 1, 480, 215"
231,3.1,0.9408162068837542,0,0,3,0,12,8,25,8,12,1,6,75,"1, 480, 94, 555","232, 1, 480, 94, 555"
235,3.731707317073171,0.8298912652842672,0,0,1,0,1,0,11,3,17,3,5,41,"1, 480","156, 1, 480, 290"
260,4.25531914893617,0.8672967470343779,0,0,1,1,4,4,8,9,38,16,60,141,"1, 480, 215, 152, 555","232, 156, 1, 480, 215, 152, 555, 302, 290, 365, 62, 262"
296,4.233532934131737,0.8355512413495998,0,0,2,0,4,1,17,9,45,26,63,167,"1, 480, 215, 94, 152, 555","232, 153, 156, 1, 480, 215, 94, 152, 555, 302, 290, 359, 346, 62, 286, 262"
316,3.304054054054054,0.8309821205714157,0,0,1,0,10,0,29,11,16,2,5,74,"1, 480, 94, 555","1, 480, 94, 555"
333,3.8125,1.1198358174592007,0,0,1,0,2,1,8,3,5,0,12,32,"1, 555","1, 555, 435, 365"
349,3.5703125,0.7604676271247592,0,0,0,0,3,1,26,3,23,1,7,64,"1, 480","1, 480"
356,4.125,0.8443086774735546,0,1,1,0,5,0,21,15,55,22,56,176,"1, 480, 215, 94, 555","232, 153, 156, 1, 480, 215, 94, 555, 300, 365, 62, 286"
362,3.7142857142857144,1.0071175275436894,0,0,0,0,1,3,5,1,5,0,6,21,1,1
367,3.3222222222222224,1.0008735260915642,0,1,4,2,5,5,28,8,27,2,8,90,"1, 480, 94, 555","156, 1, 480, 94, 555, 262"
423,2.6,0.5477225575051661,0,0,0,0,2,0,3,0,0,0,0,5,1,1
441,4.020833333333333,0.7442411756522423,0,0,0,0,0,0,5,4,6,3,6,24,"1, 480, 555","1, 480, 555"
457,4.082474226804123,0.7022301245078589,0,0,0,0,1,1,13,7,45,4,26,97,"1, 480, 94, 555","156, 1, 480, 94, 555, 302, 290, 262"
480,3.7209302325581395,0.8383087903075912,0,0,1,0,7,4,29,14,48,6,20,129,"1, 480, 94, 555","232, 156, 1, 480, 94, 555, 302, 359, 346"
500,3.3795180722891565,0.8248812236958694,0,0,1,0,6,7,29,10,21,2,7,83,"1, 480, 94, 555","232, 153, 156, 1, 480, 94, 555, 286"
527,4.221739130434782,0.929986097679116,0,2,1,0,3,1,6,8,32,18,44,115,"1, 480, 215, 152","232, 153, 1, 480, 215, 152, 300, 290, 359, 346, 3, 62, 286"
543,3.25,1.2026755886059097,0,1,0,1,3,2,4,2,5,1,3,22,"1, 555","1, 555"
552,3.3292682926829267,0.8704148156020279,0,0,0,0,5,2,19,1,9,0,5,41,"1, 480","1, 480, 262"
553,3.9,0.8563488385776753,0,0,0,1,1,0,8,4,14,3,9,40,"1, 480","1, 480"
590,3.8532608695652173,0.8036251773710988,0,0,0,0,4,2,19,8,36,5,18,92,"1, 480, 94","156, 1, 480, 94, 359"
592,3.452830188679245,0.7254827682860319,0,0,0,0,4,4,50,9,27,3,9,106,"1, 480, 94, 555","1, 480, 94, 555"
593,4.135761589403973,0.8562199383227752,0,2,0,0,2,5,14,9,52,19,48,151,"1, 480, 215, 94, 152, 555","156, 1, 480, 215, 94, 152, 555, 300, 290, 359, 365, 62, 286, 262"
596,3.375,1.0097736662950054,0,1,0,0,4,5,6,3,12,2,3,36,1,"232, 1"
608,4.100961538461538,0.8600626746531852,0,0,0,0,5,2,15,4,30,15,33,104,"1, 480, 215, 152, 555","156, 1, 480, 215, 152, 555, 302, 290, 346, 262"
648,3.5618556701030926,0.8875813693883076,0,1,2,0,3,4,29,9,35,3,11,97,"1, 480","232, 156, 1, 480, 302, 359"
