user,difficulty,response
1,0.79028404,0.5401221267670407
100,0.47609535,0.5484097385454774
101,0.47977420000000004,0.5430081348054829
102,0.41925654,0.6084445827989093
103,0.51699555,0.5615584781998385
104,0.47877586,0.5470418743337047
105,0.48678663,0.5549348816388162
106,0.44833100000000004,0.5302656456150585
107,0.4815695,0.5816492092643764
108,0.5171581000000001,0.4594603113049467
11,0.53930336,0.50015248054569
110,0.47851437,0.5271535004492189
111,0.48440874,0.4533810213793508
113,0.50179106,0.44931351987755075
114,0.48758900000000005,0.5771365906888589
116,0.47533226,0.46728423754745324
117,0.5057172999999999,0.6045835041916948
119,0.48978618,0.5852602728673555
12,0.5298562,0.5117856336793927
121,0.46128738,0.6261277477482616
123,0.41733859999999995,0.6631927152141646
128,0.4385367,0.5567000528343162
129,0.44221336,0.5389196733335251
131,0.43418777,0.605534224517814
132,0.50771,0.5606582345720617
134,0.4529212,0.5229157359952901
136,0.50296384,0.46109754018436566
137,0.5160794,0.5282441729368929
139,0.5653149000000001,0.5088811885424314
14,0.49105698,0.5645704923600399
140,0.5216522,0.5400464345864069
141,0.4689144,0.5392730563128089
142,0.44098514,0.6532478289475184
144,0.47600225,0.605744981891241
146,0.44939629999999997,0.5548823191780808
148,0.45980066,0.5706200350184547
149,0.49029046,0.509063550273036
152,0.77177614,0.6165552922683852
153,0.45716232,0.3966648315528442
154,0.5080089,0.5134607829814514
155,0.53213584,0.48815406306752074
156,0.5077470000000001,0.5435469905631363
16,0.43353236,0.624547177050786
162,0.50071186,0.5300562973022909
165,0.44810495,0.5737442543603494
166,0.43462175,0.577865679651106
167,0.46983528,0.49734110291131906
177,0.5224108000000001,0.5141551763761517
178,0.5416875,0.5170061667398725
183,0.5192945,0.5410074468781467
19,0.51635337,0.5114663821349342
190,0.46282476,0.571728182949182
191,0.57729083,0.4058771916453462
195,0.50420773,0.5098840014589581
196,0.4978875,0.5383756477310258
197,0.49084863,0.49155745748180957
202,0.466563,0.5903189061674204
21,0.4798656,0.47927981313279255
211,0.45025688,0.6333937221865387
212,0.43825272,0.5806073871672336
213,0.5182417,0.5716348951074781
215,0.72290456,0.5175753156627547
22,0.5487652,0.38383518502355657
220,0.5094286,0.4789822304084197
221,0.48208199999999995,0.5431947797016118
225,0.49761596,0.4666683513674834
227,0.48805082,0.5857063403451006
229,0.512939,0.6163480381953761
230,0.51808906,0.42279521469930137
232,0.53880125,0.5509521542218184
233,0.48316675,0.5802498317478848
234,0.51294553,0.4677730960281141
235,0.49604115,0.5572565836956497
237,0.5097228,0.5394896179706384
238,0.5154447,0.4892963266198331
239,0.44988829999999996,0.5492908188768991
242,0.48690653,0.5612438862680407
246,0.50362724,0.5167795177290275
247,0.49834459999999997,0.531695187009636
248,0.5440202,0.5256760582883777
249,0.47314948,0.5666253398126337
252,0.47199497,0.6086010175634433
253,0.5121465000000001,0.5445848126735374
255,0.5583636,0.3463473791016123
