BaselineOnly,CoClustering,KNNBasic_ItemBased,KNNBasic_UserBased,KNNWithMeans_ItemBased,KNNWithMeans_UserBased,NMF,NormalPredictor,SVD,SlopeOne
0.4886902816679339,0.47674674562176195,0.4821826070351206,0.4727490453623504,0.49110317994619423,0.4752973371542799,0.48189560072661847,0.3748561064434483,0.4929615112423129,0.4876134500577659
0.5764371499480155,0.5458099904893373,0.5974812997850506,0.4644498132288715,0.556586147927484,0.5716672420082201,0.5398169191444355,0.4033078069361618,0.5869462419828754,0.5613752653657891
0.4508651447127455,0.4513301534539158,0.4393917184680834,0.41071982698895654,0.4482520799240164,0.4501043662901066,0.45635462455430614,0.3771245263659985,0.4481864795939866,0.43869073614839055
0.4507702889002665,0.4457259063138286,0.46761425217069347,0.44468143980844327,0.4473220519440963,0.4483809964407965,0.4432041377920221,0.4032584382494081,0.45541126613241906,0.44270777891607954
0.5857034274056766,0.5639684591404569,0.58428852621667,0.5524338790713703,0.5765329144316633,0.5826714248112269,0.5672246595711928,0.43126594991021994,0.5935565510690012,0.568647225957873
0.5195068246159048,0.5257640232461825,0.5036173031533401,0.4874901859520284,0.528032041501397,0.5202025941970273,0.5075484632596454,0.38263127767440086,0.516670772462095,0.5223104789623891
0.7043836687749382,0.6357821778307411,0.6550990732741376,0.651444515242088,0.6735224315684595,0.691523150090122,0.6840082435520808,0.45736738705845603,0.7002851527887324,0.680404798070282
0.5498643901708172,0.5381608920258365,0.5285530100910794,0.5410514555108509,0.5326802372744812,0.5398609838246229,0.5253672420993954,0.41505126263673214,0.5501328490598352,0.5482603467371948
0.5676829824715411,0.5547699326047135,0.5694201246117745,0.5745864808865045,0.5576123717086607,0.5787184154796627,0.5713848388116733,0.4909522418667724,0.5722759969695246,0.5478952185627219
0.43393481711395515,0.3921353266803017,0.44871990450730137,0.48432195106926973,0.43090307962373764,0.4056433692149063,0.4416832398328342,0.3782954472056827,0.4324507472832329,0.45149000099078185
0.4936003333850447,0.4954928368921375,0.49307199788901046,0.4809619949650275,0.48588541253681833,0.4945188204839599,0.4614488869431581,0.3876140650469505,0.4936704877257568,0.4903059742376397
0.5785754956544069,0.5198061613699633,0.5428595415505498,0.49238849753251956,0.5356091224966779,0.5561078392713997,0.5729188919076219,0.44383439967912897,0.5831882851817228,0.5469697267006168
0.4273271999729565,0.4329174881815316,0.40838414793208344,0.3998660099050161,0.4223757724210819,0.4236469294716029,0.37767819983157874,0.36148871972893126,0.4206123624497236,0.432224740651101
0.5065685708860311,0.521607020840276,0.453784205123217,0.489937556953971,0.519654280094197,0.5163039261802854,0.5370873475072699,0.4037973341256184,0.5144686593592748,0.5238563066588745
0.5478466818291681,0.5386651477591884,0.5122944406217892,0.5406449171480358,0.5408369306934618,0.5405928280212345,0.5323341629012401,0.3958495909855295,0.5548887195892412,0.5310150609867175
0.43507388617930554,0.4165346819506238,0.41455349000908315,0.43027180038169377,0.41418321178883827,0.4315236898839157,0.3993955366034407,0.4051203573877736,0.4451549440987065,0.429393935802058
0.5278382929729009,0.5064069165549264,0.5670909323058698,0.49652903665536147,0.5235723472819057,0.5228378801620559,0.502056233846016,0.38364421133358356,0.5272794287320238,0.5196112364532256
0.45277171046708614,0.45321305601425593,0.40055764351218104,0.4193307596033698,0.44293731628439065,0.454779705148848,0.43375546189157527,0.3651290209459055,0.4420548501299831,0.4536968640918689
0.607597957630017,0.5956957927782194,0.5703874893765514,0.5939781640388809,0.6103323123852907,0.6068942799601801,0.6051123692444113,0.439944398110207,0.6153606996700428,0.6122052118190057
