BaselineOnly(SDG),CoClustering,KNNBasic(Itembased-cosine),KNNBasic(Userbased-cosine),KNNWithMeans(Itembased-cosine),KNNWithMeans(Userbased-cosine),NMF,NormalPredictor,SlopeOne,SVD
0.5603182607721185,0.5465078150617554,0.4974381933044819,0.5659950192438307,0.5602868668758404,0.5539552404165743,0.5521201413427562,0.42611215271859554,0.5599104143337066,0.5584096493187403
0.584966364434045,0.5279273571956499,0.5152779924769413,0.4976857612103717,0.5566069241901369,0.5507517761744781,0.5540780141843972,0.40303079155247457,0.5531585352361987,0.5863383172090296
0.5570409982174689,0.5378078950198989,0.5319997872000851,0.5463286713286714,0.5458515283842795,0.5440992437020513,0.5402485143165856,0.43243243243243246,0.5481554568875733,0.5546004104043036
0.5095541401273885,0.47373158368468427,0.44456299457633147,0.4844491812808836,0.48813824074978035,0.48246248854151585,0.4874957344123239,0.3946329913180742,0.4940223298093074,0.5065342923715935
0.5979788315493632,0.5193725979017347,0.5530361685654241,0.5740198610871936,0.5719842132357147,0.5717552887364208,0.5677946854417443,0.43291917399021607,0.5777007510109764,0.5985873338920149
0.574052812858783,0.5436259853220984,0.5219751539826705,0.5544466622310934,0.5667006687067891,0.5681495369581274,0.5552162567319971,0.4263846842621413,0.5745805561939784,0.5832264084917765
0.5352172982230786,0.5076399817249606,0.5251273433807698,0.5253204454717377,0.5247415647793462,0.5316886431305827,0.5264543300868649,0.4378092027494418,0.5226025607525477,0.5368839256952647
0.5492091388400703,0.5362792942564487,0.4897399480875655,0.5228484785109275,0.5324530110217773,0.5448700484934342,0.5472555135992995,0.43717758153361896,0.5408036342004219,0.5427702996092054
0.6170554115759596,0.5876131155247385,0.5864414731409805,0.5968367651447329,0.6011060351045925,0.5986948452373825,0.5903187721369539,0.47314880529926656,0.5970505701832945,0.6154224875376946
0.5882352941176471,0.5669255626736209,0.5077430820005078,0.5747126436781609,0.5754733268113023,0.5810912894415713,0.5734602592040372,0.4395797617477692,0.5824111822947,0.5877167205406993
0.6598917777484492,0.5981576743629621,0.5754071005236204,0.6157256326580876,0.6592827004219409,0.6627344423089667,0.6507874528179097,0.4667008913987026,0.6598046978094484,0.6583278472679394
0.580113702285648,0.5681495369581274,0.523944252331552,0.5691843588138198,0.5774005427565102,0.5752746936662256,0.5738222298731852,0.41511000415110005,0.5790387955993052,0.584009811364831
0.5060472648145337,0.4981568197668626,0.4723665564478035,0.5059960532307848,0.49778485738463846,0.507330931966922,0.4965983016338084,0.4053834927841738,0.5028663381273257,0.5064316823660487
0.5188067444876784,0.49241678156391566,0.4242681374628765,0.49295080350980974,0.5239168020118405,0.5117445371270661,0.5221386800334169,0.3750234389649353,0.5190760446405399,0.5146945287971589
0.47737254153141107,0.4668752042579019,0.4555808656036446,0.47279088459174506,0.4659832246039143,0.4749465685110425,0.4654410053525715,0.41324021653787346,0.4782400765184122,0.46860356138706655
0.4972155926809865,0.49299940840070994,0.4380009636021199,0.3938093175284527,0.4821135859608523,0.4938271604938272,0.4958595725690484,0.35068031982045167,0.502209722780233,0.5040576641967841
0.5343307507347047,0.5264543300868649,0.5088022794342119,0.5322546306152863,0.5297451925623774,0.5374610340750295,0.5365094693921347,0.4240522432363667,0.5309546564723373,0.5319997872000851
0.6454944487477408,0.6138735420503376,0.628693574751666,0.6130456105934281,0.6100536847242557,0.6110228522546743,0.600817111271329,0.4626630887387804,0.6083095078776082,0.6500260010400416
0.6220839813374806,0.5329070077271516,0.5309828492539691,0.6184291898577613,0.61648480364959,0.6064281382656155,0.6034274680183442,0.46153136105598375,0.6153088850603002,0.6285750204286882
0.49446202531645567,0.49372963365261174,0.4577706569008927,0.49603174603174605,0.49805757545572266,0.4952701698776683,0.4899318994659742,0.39519443566234586,0.4984547901505334,0.5003502451716201
0.5068937550689376,0.4914246400314512,0.47764615972487584,0.5023863350916855,0.49870337123478947,0.5051270394504218,0.5044899606497831,0.3963221306277742,0.5,0.5111167901865576
0.4994007191370356,0.48673643222195184,0.477190303493033,0.4727014890096904,0.48713951675759937,0.502563071665494,0.49297510475720974,0.4051371389215249,0.4983554270906011,0.49689440993788814
0.5410084397316598,0.5248517293864483,0.5048465266558967,0.5322546306152863,0.5333333333333333,0.5387640752114649,0.5362505362505362,0.41128567903265606,0.5329638117571817,0.5391707553782282
0.6019744762822057,0.6097932800780536,0.5155170636148056,0.6041200990756963,0.6105378838756944,0.6076441635778088,0.6100536847242557,0.426021386273591,0.6205398696866274,0.6032090722644469
0.5926979611190137,0.5310674455655868,0.5388511693070375,0.5265097667561733,0.537576604666165,0.5357908272610373,0.5273149124657246,0.43122035360068994,0.5394325169921242,0.5975143403441683
0.5680849855138329,0.5455537370430987,0.5216756220981793,0.4843084075939558,0.537605505080372,0.5548773721007657,0.5463585204611265,0.39851751484477743,0.5468365505550391,0.5581603036392052
0.5291845266444409,0.5067653169817058,0.5032965926820676,0.48692603593514144,0.5046427129592249,0.5106209150326797,0.4964750273061266,0.4097520999795124,0.501831685652632,0.5274818018778352
0.5091131249363609,0.4934129372872157,0.46099944680066385,0.500150045013504,0.5109078833086395,0.5068937550689376,0.49955040463582767,0.40133242364650645,0.5145621076463929,0.4974381933044819
0.4989522003792037,0.45026790940609657,0.4879238838741156,0.4677706052951633,0.455000455000455,0.48491901852390656,0.4615739672282483,0.417240372178412,0.4756242568370987,0.4952701698776683
0.5910165484633569,0.5350741077639253,0.5194805194805194,0.5774338838203026,0.5721805801911083,0.5726065048098946,0.5676335357892944,0.44913541432741977,0.5858230814294084,0.5866134803777792
0.5304476978569913,0.5070222582771383,0.5158361704322707,0.4984547901505334,0.5105166428425566,0.5192916861401049,0.5261496369567505,0.4038609103024919,0.5157563566970963,0.5289326139849783
0.5611987204669173,0.5407451468123073,0.5446623093681917,0.543685097591475,0.5451373746184038,0.552638850511191,0.5323112956456936,0.4468075599839149,0.5314908317831517,0.5546619335515004
0.5292965648652941,0.5500550055005501,0.48388657698635434,0.5419466724474312,0.5472854640980735,0.5499340079190497,0.544425087108014,0.41071135206177095,0.5528221571120571,0.5254860746190226
0.5187260089220873,0.5081559022308044,0.47194298928689415,0.5166890565257828,0.5170096163788646,0.511587455875582,0.5060472648145337,0.4154204054503157,0.5130836326321191,0.5168492867479842
0.5371434710211098,0.5364519070865297,0.5092946269416858,0.5355612682090831,0.5268703898840885,0.5390254420008624,0.5466571912753513,0.41675349031048137,0.5362792942564487,0.5335325188070213
0.541858574911948,0.5310392438001168,0.5341309689135777,0.4851072086931212,0.5272315073548796,0.5354465624330692,0.5319148936170213,0.40893105422425774,0.5368551028077522,0.5392289026691831
0.5097099750242112,0.5203455094182537,0.4611482591653217,0.5034993202759176,0.5182421227197347,0.5137690094533497,0.509580105992662,0.3982159923542529,0.5262327000999841,0.5096060745044081
0.5832944470368643,0.5199396869963084,0.5858917272088119,0.524824183898394,0.5539859287574096,0.5667649059170257,0.5334755934915978,0.4594321418726454,0.564461503725446,0.5836008170411439
0.4395797617477692,0.4287245444801715,0.45964331678617387,0.42098172939294437,0.41555851063829785,0.43066322136089574,0.4361289197086659,0.4194806829145518,0.4161464835622139,0.44480028467218224
0.623402531014276,0.6138358602909582,0.5884776084269994,0.6060973392326807,0.6181233774261343,0.6201935003721161,0.5994125756758377,0.45034902049088044,0.6146659290675518,0.617093489663684
